Date,Open,High,Low,Close,Volume,days since 2020_Feb_03
2020-07-23,4.09,4.31,4.06,4.11,3237550,171
2020-07-22,4.02,4.12,3.92,4.11,2523547,170
2020-07-21,3.9,4.09,3.88,4.01,3341012,169
2020-07-20,3.95,4.06,3.77,3.85,3401088,168
2020-07-17,4.16,4.23,3.94,3.96,3066549,165
2020-07-16,4.19,4.2,4.09,4.17,1330461,164
2020-07-15,4.13,4.29,4.13,4.19,1474126,163
2020-07-14,4.22,4.31,4.07,4.08,2261589,162
2020-07-13,4.35,4.55,4.26,4.26,4216265,161
2020-07-10,4.2,4.38,4.18,4.34,1410828,158
2020-07-09,4.27,4.32,4.13,4.21,1992621,157
2020-07-08,4.1,4.29,4.03,4.26,2052829,156
2020-07-07,4.2,4.25,4.06,4.09,2456970,155
2020-07-06,4.31,4.34,4.19,4.24,2140879,154
2020-07-02,4.49,4.51,4.29,4.29,1887751,150
2020-07-01,4.31,4.5,4.31,4.44,2304101,149
2020-06-30,4.33,4.51,4.2,4.34,3889029,148
2020-06-29,4.35,4.52,4.3,4.38,2131330,147
2020-06-26,4.48,4.5,4.27,4.35,3801155,144
2020-06-25,4.33,4.54,4.3,4.46,2450936,143
2020-06-24,4.83,4.84,4.38,4.41,2976209,142
2020-06-23,4.95,4.99,4.8,4.83,3205372,141
2020-06-22,4.79,4.95,4.72,4.87,3178966,140
2020-06-19,4.95,5.08,4.69,4.88,7365867,137
2020-06-18,4.67,4.95,4.65,4.95,3423827,136
2020-06-17,4.54,4.83,4.53,4.76,3593466,135
2020-06-16,4.95,4.95,4.51,4.64,3123535,134
2020-06-15,4.5,4.77,4.42,4.69,3910385,133
2020-06-12,4.6,4.78,4.39,4.72,4378192,130
2020-06-11,4.64,4.9,4.18,4.37,6235993,129
2020-06-10,4.78,5.53,4.68,5.07,10606370,128
2020-06-09,5.0,5.0,4.55,4.96,8073448,127
2020-06-08,4.28,5.14,4.27,5.01,10133660,126
2020-06-05,4.29,4.41,4.09,4.14,6274428,123
2020-06-04,4.44,4.72,4.37,4.47,3514299,122
2020-06-03,4.24,4.52,4.2,4.44,3037424,121
2020-06-02,4.27,4.31,4.06,4.18,2369780,120
2020-06-01,4.12,4.36,4.02,4.13,2618424,119
2020-05-29,4.33,4.42,4.05,4.06,3973540,116
2020-05-28,4.75,4.76,4.3,4.33,2184367,115
2020-05-27,4.57,4.71,4.36,4.69,3146603,114
2020-05-26,4.34,4.61,4.33,4.42,3545926,113
2020-05-22,4.46,4.49,4.13,4.18,2379851,109
2020-05-21,4.45,4.65,4.4,4.44,1971906,108
2020-05-20,4.5,4.69,4.34,4.43,2543609,107
2020-05-19,4.58,4.75,4.37,4.44,1840732,106
2020-05-18,4.4,4.63,4.36,4.58,2371694,105
2020-05-15,4.05,4.45,4.04,4.22,1940704,102
2020-05-14,4.15,4.19,3.96,4.13,2004868,101
2020-05-13,4.54,4.54,4.07,4.21,2882877,100
2020-05-12,4.78,4.92,4.46,4.54,2639157,99
2020-05-11,4.92,4.96,4.75,4.76,1699158,98
2020-05-08,4.88,5.19,4.82,4.98,2353661,95
2020-05-07,4.83,4.94,4.65,4.87,2501195,94
2020-05-06,5.4,5.4,4.9,4.93,3369640,93
2020-05-05,5.55,5.63,5.35,5.39,2105919,92
2020-05-04,5.84,5.93,5.4,5.48,4068105,91
